arm,instrument,ipo_timeframe,window,direction,ipo_origin_time,ipo_open,ipo_high,ipo_low,ipo_close,zone_high,zone_low,midpoint,touch_time,entry_time,entry_price,s2_price,target_price,risk_price,m1_entry_time,m1_target_time,s2_invalidation_time,exit_time,exit_price,exit_reason,gross_r,cost_r,net_r,ordering_resolution,ambiguity_detail,frozen_engine_reason,precedence_disagreement,mae_r,mfe_r,bars_to_exit,holding_minutes,blocked_by,excluded_from_stats
IPO_1H_PLUS_4H,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-10T12:00:00Z,1.104,1.11205,1.1034,1.1097,1.1077249999999998,1.1034,1.1077249999999998,2022-03-17T14:00:00Z,2022-03-17T14:00:00Z,1.1077249999999998,1.11205,1.0990749999999996,0.004325000000000134,2022-03-17T14:14:00Z,,2022-03-17T16:00:00Z,2022-03-17T16:00:00Z,1.1131,S2_CLOSE_INVALIDATION,-1.2427745664739798,0.03699421965317805,-1.2797687861271578,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.2890173410404473,0.2254335260115417,2,106,other_tf_refusals=106,false
IPO_1H_PLUS_4H,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-01T20:00:00Z,1.1123,1.1133,1.1116,1.1133,1.11245,1.1116,1.11245,2022-03-17T18:00:00Z,2022-03-17T18:00:00Z,1.11245,1.1133,1.11075,0.0008500000000000174,2022-03-17T18:00:00Z,2022-03-17T18:29:00Z,2022-03-30T08:00:00Z,2022-03-17T18:29:00Z,1.11075,TARGET,2,0.18823529411764323,1.8117647058823567,1M_RESOLVED,,TARGET,false,0.35294117647054213,2.999999999999739,0,29,other_tf_refusals=106,false
IPO_1H_PLUS_4H,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T22:00:00Z,1.1033,1.10345,1.1009,1.1021,1.10345,1.102175,1.102175,2022-03-18T12:00:00Z,2022-03-18T12:00:00Z,1.102175,1.1009,1.1047249999999997,0.001274999999999915,2022-03-18T12:12:00Z,2022-03-18T15:53:00Z,2022-03-22T00:00:00Z,2022-03-18T15:53:00Z,1.1047249999999997,TARGET,2,0.12549019607843975,1.8745098039215602,1M_RESOLVED,,TARGET,false,1.470588235294097,2.529411764706077,3,221,other_tf_refusals=106,false
IPO_1H_PLUS_4H,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-18T19:00:00Z,1.10475,1.1057,1.1046,1.1052,1.10515,1.1046,1.10515,2022-03-21T08:00:00Z,2022-03-21T08:00:00Z,1.10515,1.1057,1.1040500000000004,0.0005499999999998284,2022-03-21T08:00:00Z,2022-03-21T11:02:00Z,2022-03-29T11:00:00Z,2022-03-21T11:02:00Z,1.1040500000000004,TARGET,2,0.2909090909091817,1.7090909090908184,1M_RESOLVED,,TARGET,false,2.6363636363643703,4.636363636365178,3,182,other_tf_refusals=106,false
IPO_1H_PLUS_4H,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T22:00:00Z,1.1033,1.10345,1.1009,1.1021,1.10345,1.102175,1.102175,2022-03-21T18:00:00Z,2022-03-21T18:00:00Z,1.102175,1.1009,1.1047249999999997,0.001274999999999915,2022-03-21T18:06:00Z,,2022-03-22T00:00:00Z,2022-03-22T00:00:00Z,1.0987,S2_CLOSE_INVALIDATION,-2.7254901960785305,0.12549019607843975,-2.8509803921569703,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,3.1960784313726274,0.6862745098041094,6,354,other_tf_refusals=106,false
IPO_1H_PLUS_4H,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T09:00:00Z,1.09905,1.1001,1.0979,1.0985,1.1001,1.0990000000000002,1.0990000000000002,2022-03-22T04:00:00Z,2022-03-22T04:00:00Z,1.0990000000000002,1.0979,1.1012000000000004,0.001100000000000101,2022-03-22T04:16:00Z,,2022-03-22T06:00:00Z,2022-03-22T06:00:00Z,1.0968,S2_CLOSE_INVALIDATION,-2,0.14545454545453212,-2.145454545454532,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,2,1.1818181818179432,2,104,other_tf_refusals=106,false
IPO_1H_PLUS_4H,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-21T22:00:00Z,1.1019,1.1026,1.1018,1.10205,1.1021999999999998,1.1018,1.1021999999999998,2022-03-22T12:00:00Z,2022-03-22T12:00:00Z,1.1021999999999998,1.1026,1.1013999999999995,0.000400000000000178,2022-03-22T12:16:00Z,2022-03-22T12:16:00Z,2022-03-22T13:00:00Z,2022-03-22T12:16:00Z,1.1013999999999995,TARGET,2,0.39999999999982205,1.600000000000178,1M_RESOLVED,,TARGET,false,3.124999999999098,5.749999999996808,0,0,other_tf_refusals=106,false
IPO_1H_PLUS_4H,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-22T13:00:00Z,1.1016,1.1041,1.1016,1.1041,1.10285,1.1016,1.10285,2022-03-22T17:00:00Z,2022-03-22T17:00:00Z,1.10285,1.1041,1.1003500000000002,0.0012499999999999734,2022-03-22T17:19:00Z,2022-03-23T09:41:00Z,2022-03-29T10:00:00Z,2022-03-23T09:41:00Z,1.1003500000000002,TARGET,2,0.12800000000000275,1.8719999999999972,1M_RESOLVED,,TARGET,false,1.2399999999999787,3.1200000000000783,16,982,other_tf_refusals=106,false
IPO_1H_PLUS_4H,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-23T10:00:00Z,1.0996,1.1007,1.0996,1.1002,1.10015,1.0996,1.10015,2022-03-23T15:00:00Z,2022-03-23T15:00:00Z,1.10015,1.1007,1.0990499999999999,0.0005500000000000504,2022-03-23T15:40:00Z,,2022-03-23T18:00:00Z,2022-03-23T18:00:00Z,1.10085,S2_CLOSE_INVALIDATION,-1.2727272727274195,0.29090909090906425,-1.5636363636364838,HTF_UNAMBIGUOUS,,TARGET,true,0.6363636363637097,4.454545454545161,0,140,other_tf_refusals=106,false
IPO_1H_PLUS_4H,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-23T10:00:00Z,1.0996,1.1007,1.0996,1.1002,1.10015,1.0996,1.10015,2022-03-23T17:00:00Z,2022-03-23T17:00:00Z,1.10015,1.1007,1.0990499999999999,0.0005500000000000504,2022-03-23T17:00:00Z,,2022-03-23T18:00:00Z,2022-03-23T18:00:00Z,1.10085,S2_CLOSE_INVALIDATION,-1.2727272727274195,0.29090909090906425,-1.5636363636364838,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.7272727272725805,0.8181818181818549,1,60,other_tf_refusals=106,false
