arm,instrument,ipo_timeframe,window,direction,ipo_origin_time,ipo_open,ipo_high,ipo_low,ipo_close,zone_high,zone_low,midpoint,touch_time,entry_time,entry_price,s2_price,target_price,risk_price,m1_entry_time,m1_target_time,s2_invalidation_time,exit_time,exit_price,exit_reason,gross_r,cost_r,net_r,ordering_resolution,ambiguity_detail,frozen_engine_reason,precedence_disagreement,mae_r,mfe_r,bars_to_exit,holding_minutes,blocked_by,excluded_from_stats
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-03-11T11:00:00Z,1.09795,1.1043,1.0974,1.09815,1.1008499999999999,1.0974,1.1008499999999999,2022-03-16T15:00:00Z,2022-03-16T15:00:00Z,1.1008499999999999,1.1043,1.0939499999999995,0.003450000000000175,2022-03-16T15:00:00Z,,2022-03-17T07:00:00Z,2022-03-17T07:00:00Z,1.1047,S2_CLOSE_INVALIDATION,-1.1159420289854887,0.04637681159420055,-1.1623188405796891,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.6811594202897777,1.6666666666665595,4,960,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-03-01T23:00:00Z,1.1122,1.1136,1.1112,1.11255,1.1124,1.1112,1.1124,2022-03-17T15:00:00Z,2022-03-17T15:00:00Z,1.1124,1.1136,1.1100000000000003,0.0011999999999998678,2022-03-17T16:56:00Z,2022-03-17T18:48:00Z,2022-03-30T11:00:00Z,2022-03-17T18:48:00Z,1.1100000000000003,TARGET,2,0.13333333333334804,1.866666666666652,1M_RESOLVED,,TARGET,false,1.1666666666666667,3.666666666667037,0,112,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-03-22T11:00:00Z,1.1003,1.10455,1.0992,1.1035,1.101875,1.0992,1.101875,2022-03-25T07:00:00Z,2022-03-25T07:00:00Z,1.101875,1.10455,1.096525,0.002674999999999983,2022-03-25T07:00:00Z,2022-03-28T01:20:00Z,2022-03-29T07:00:00Z,2022-03-28T01:20:00Z,1.096525,TARGET,2,0.05981308411214992,1.9401869158878502,1M_RESOLVED,,TARGET,false,0.4392523364486563,2.5327102803738386,5,3980,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-03-01T23:00:00Z,1.1122,1.1136,1.1112,1.11255,1.1124,1.1112,1.1124,2022-03-29T11:00:00Z,2022-03-29T11:00:00Z,1.1124,1.1136,1.1100000000000003,0.0011999999999998678,2022-03-29T12:48:00Z,2022-03-29T13:04:00Z,2022-03-30T11:00:00Z,2022-03-29T13:04:00Z,1.1100000000000003,TARGET,2,0.13333333333334804,1.866666666666652,1M_RESOLVED,,TARGET,false,1.0833333333333333,7.666666666667592,0,16,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-03-02T15:00:00Z,1.1094,1.1145,1.1058,1.1129,1.11015,1.1058,1.11015,2022-03-29T15:00:00Z,2022-03-29T15:00:00Z,1.11015,1.1145,1.1014499999999998,0.004350000000000076,2022-03-29T15:00:00Z,,2022-03-30T11:00:00Z,2022-03-30T11:00:00Z,1.1162,S2_CLOSE_INVALIDATION,-1.3908045977011505,0.03678160919540166,-1.4275862068965521,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.5977011494252622,0.67816091954022,5,1200,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-04-01T11:00:00Z,1.10665,1.10665,1.1028,1.1037,1.10665,1.104725,1.104725,2022-04-04T00:00:00Z,2022-04-04T00:00:00Z,1.104725,1.1028,1.1085749999999999,0.0019249999999999545,2022-04-04T00:00:00Z,,2022-04-04T08:00:00Z,2022-04-04T08:00:00Z,1.0996,S2_CLOSE_INVALIDATION,-2.662337662337749,0.08311688311688509,-2.745454545454634,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,2.662337662337749,0.4025974025973966,2,480,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-03-27T23:00:00Z,1.0981,1.0985,1.0951,1.0954,1.0985,1.0968,1.0968,2022-04-05T04:00:00Z,2022-04-05T04:00:00Z,1.0968,1.0951,1.1002,0.0017000000000000348,2022-04-05T04:16:00Z,,2022-04-05T12:00:00Z,2022-04-05T12:00:00Z,1.092,S2_CLOSE_INVALIDATION,-2.823529411764598,0.09411764705882161,-2.9176470588234196,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,2.823529411764598,1.2058823529412148,2,464,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-04-06T08:00:00Z,1.0894,1.09255,1.0891,1.0916,1.090825,1.0891,1.090825,2022-04-07T04:00:00Z,2022-04-07T04:00:00Z,1.090825,1.09255,1.087375,0.0017249999999999766,2022-04-07T04:00:00Z,2022-04-07T09:19:00Z,2022-04-10T16:00:00Z,2022-04-07T09:19:00Z,1.087375,TARGET,2,0.09275362318840706,1.907246376811593,1M_RESOLVED,,TARGET,false,1.4927536231884226,2.4492753623188293,1,319,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-04-06T08:00:00Z,1.0894,1.09255,1.0891,1.0916,1.090825,1.0891,1.090825,2022-04-07T09:00:00Z,2022-04-07T09:00:00Z,1.090825,1.09255,1.087375,0.0017249999999999766,2022-04-07T11:08:00Z,2022-04-07T19:18:00Z,2022-04-10T16:00:00Z,2022-04-07T19:18:00Z,1.087375,TARGET,2,0.09275362318840706,1.907246376811593,1M_RESOLVED,,TARGET,false,1.6086956521739186,2.4492753623188293,0,490,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-04-06T08:00:00Z,1.0894,1.09255,1.0891,1.0916,1.090825,1.0891,1.090825,2022-04-07T13:00:00Z,2022-04-07T13:00:00Z,1.090825,1.09255,1.087375,0.0017249999999999766,2022-04-07T13:00:00Z,2022-04-07T19:18:00Z,2022-04-10T16:00:00Z,2022-04-07T19:18:00Z,1.087375,TARGET,2,0.09275362318840706,1.907246376811593,1M_RESOLVED,,TARGET,false,1.753623188405853,2.2753623188405854,1,378,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-04-08T09:00:00Z,1.0867,1.0891,1.0838,1.0838,1.0891,1.0864500000000001,1.0864500000000001,2022-04-12T05:00:00Z,2022-04-12T05:00:00Z,1.0864500000000001,1.0838,1.0917500000000002,0.002650000000000041,2022-04-12T06:22:00Z,,2022-04-12T16:00:00Z,2022-04-12T16:00:00Z,1.0831,S2_CLOSE_INVALIDATION,-1.264150943396277,0.0603773584905651,-1.3245283018868421,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.5660377358490694,1.4528301886791883,4,578,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-04-11T17:00:00Z,1.0878,1.0895,1.0877,1.0885,1.0886,1.0877,1.0886,2022-04-13T16:00:00Z,2022-04-13T16:00:00Z,1.0886,1.0895,1.0868000000000002,0.0008999999999999009,2022-04-13T16:14:00Z,,2022-04-13T20:00:00Z,2022-04-13T20:00:00Z,1.0896,S2_CLOSE_INVALIDATION,-1.1111111111111112,0.17777777777779738,-1.2888888888889085,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,1.2222222222222223,1.5555555555558023,1,226,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-04-21T00:00:00Z,1.08485,1.0851,1.0824,1.0831,1.0851,1.08375,1.08375,2022-04-21T12:00:00Z,2022-04-21T12:00:00Z,1.08375,1.0824,1.08645,0.0013499999999999623,2022-04-21T15:56:00Z,,2022-04-22T04:00:00Z,2022-04-22T04:00:00Z,1.0806,S2_CLOSE_INVALIDATION,-2.333333333333388,0.11851851851852184,-2.45185185185191,HTF_UNAMBIGUOUS,,TARGET,true,0.03703703703695175,4.370370370370504,0,724,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-04-21T00:00:00Z,1.08485,1.0851,1.0824,1.0831,1.0851,1.08375,1.08375,2022-04-21T20:00:00Z,2022-04-21T20:00:00Z,1.08375,1.0824,1.08645,0.0013499999999999623,2022-04-21T20:04:00Z,,2022-04-22T04:00:00Z,2022-04-22T04:00:00Z,1.0806,S2_CLOSE_INVALIDATION,-2.333333333333388,0.11851851851852184,-2.45185185185191,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,2.555555555555592,1.0370370370371162,2,476,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-04-19T00:00:00Z,1.078,1.0787,1.0761,1.0773,1.0787,1.0774,1.0774,2022-04-22T12:00:00Z,2022-04-22T12:00:00Z,1.0774,1.0761,1.0799999999999996,0.0012999999999998568,2022-04-22T15:02:00Z,2022-04-22T19:40:00Z,2022-04-25T04:00:00Z,2022-04-22T19:40:00Z,1.0799999999999996,TARGET,2,0.12307692307693664,1.8769230769230634,1M_RESOLVED,,TARGET,false,0.23076923076923078,5.384615384616068,0,278,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-04-19T16:00:00Z,1.07895,1.08035,1.0782,1.0789,1.08035,1.079275,1.079275,2022-04-22T20:00:00Z,2022-04-22T20:00:00Z,1.079275,1.0782,1.0814249999999999,0.0010749999999999371,2022-04-22T20:09:00Z,2022-04-24T19:09:00Z,2022-04-25T00:00:00Z,2022-04-24T19:09:00Z,1.0814249999999999,TARGET,2,0.1488372093023343,1.8511627906976658,1M_RESOLVED,,TARGET,false,0.16279069767446183,4.627906976744412,1,2820,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-04-25T08:00:00Z,1.0739,1.07545,1.072,1.0751,1.073725,1.072,1.073725,2022-04-26T00:00:00Z,2022-04-26T00:00:00Z,1.073725,1.07545,1.070275,0.0017249999999999766,2022-04-26T03:31:00Z,2022-04-26T06:57:00Z,2022-05-27T00:00:00Z,2022-04-26T06:57:00Z,1.070275,TARGET,2,0.09275362318840706,1.907246376811593,1M_RESOLVED,,TARGET,false,0.0434782608695932,3.579710144927609,1,206,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-05-02T16:00:00Z,1.0521,1.0526,1.0491,1.0505,1.0526,1.05085,1.05085,2022-05-05T12:00:00Z,2022-05-05T12:00:00Z,1.05085,1.0491,1.0543500000000003,0.0017500000000001403,2022-05-05T15:08:00Z,2022-05-05T19:35:00Z,2022-05-12T04:00:00Z,2022-05-05T19:35:00Z,1.0543500000000003,TARGET,2,0.0914285714285641,1.908571428571436,1M_RESOLVED,,TARGET,false,0.2857142857143582,3.6857142857139014,0,267,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,demand,2022-05-05T12:00:00Z,1.0548,1.0573,1.05035,1.0507,1.0573,1.0538249999999998,1.0538249999999998,2022-05-06T16:00:00Z,2022-05-06T16:00:00Z,1.0538249999999998,1.05035,1.0607749999999996,0.003474999999999895,2022-05-06T19:21:00Z,,2022-05-12T04:00:00Z,2022-05-12T04:00:00Z,1.046,S2_CLOSE_INVALIDATION,-2.251798561151075,0.046043165467627295,-2.297841726618702,HTF_UNAMBIGUOUS,,S2_CLOSE_INVALIDATION,false,2.7122302158273612,1.5467625899281416,22,7719,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-05-11T04:00:00Z,1.0537,1.0561,1.0534,1.0552,1.0547499999999999,1.0534,1.0547499999999999,2022-05-17T08:00:00Z,2022-05-17T08:00:00Z,1.0547499999999999,1.0561,1.0520499999999995,0.0013500000000001844,2022-05-17T11:39:00Z,2022-05-18T06:43:00Z,2022-05-19T12:00:00Z,2022-05-18T06:43:00Z,1.0520499999999995,TARGET,2,0.11851851851850234,1.8814814814814977,1M_RESOLVED,,TARGET,false,0.5555555555556652,6.777777777776682,0,1144,,false
IPO_4H_ONLY,EUR/USD,4h,EUR/USD_2022-07-01,supply,2022-05-11T04:00:00Z,1.0537,1.0561,1.0534,1.0552,1.0547499999999999,1.0534,1.0547499999999999,2022-05-17T16:00:00Z,2022-05-17T16:00:00Z,1.0547499999999999,1.0561,1.0520499999999995,0.0013500000000001844,2022-05-17T16:23:00Z,2022-05-18T06:43:00Z,2022-05-19T12:00:00Z,2022-05-18T06:43:00Z,1.0520499999999995,TARGET,2,0.11851851851850234,1.8814814814814977,1M_RESOLVED,,TARGET,false,1.2222222222221675,2.481481481481116,3,860,,false
