arm,key,instrument,timeframe,window,direction,ipo_origin_time,zone_high,zone_low,entry_time,entry_price,s2_price,target_price,has_preentry_impulse,association,impulse_direction,impulse_start_time,impulse_end_time,impulse_confirmed_time,impulse_span_bars,impulse_bos_price,impulse_origin_broken,impulse_displacement_atr,impulse_body_dominance,impulse_efficiency,bars_origin_to_impulse,bars_impulse_to_entry,confirmed_before_entry,exit_time,exit_price,exit_reason,gross_r,cost_r,net_r,ordering_resolution,ambiguity_detail,excluded_from_stats
CONTROL,EUR/USD|2022-07-01|1h|411@418,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T22:00:00Z,1.10345,1.102175,2022-03-17T05:00:00Z,1.102175,1.1009,1.1047249999999997,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-17T08:02:00Z,1.1047249999999997,TARGET,2,0.12549019607843975,1.8745098039215602,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|302@427,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-10T12:00:00Z,1.1077249999999998,1.1034,2022-03-17T14:00:00Z,1.1077249999999998,1.11205,1.0990749999999996,true,IMPULSE_ORIGIN_INSIDE_IPO,bearish,2022-03-10T12:00:00Z,2022-03-11T18:00:00Z,2022-03-11T18:00:00Z,30,1.0902,false,,,,30,95,true,2022-03-17T16:00:00Z,1.1131,S2_CLOSE_INVALIDATION,-1.2427745664739798,0.03699421965317805,-1.2797687861271578,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|140@431,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-01T20:00:00Z,1.11245,1.1116,2022-03-17T18:00:00Z,1.11245,1.1133,1.11075,true,IMPULSE_IMMEDIATELY_AFTER_IPO,bearish,2022-03-02T16:00:00Z,2022-03-07T01:00:00Z,2022-03-07T01:00:00Z,59,1.0823,false,,,,79,212,true,2022-03-17T18:29:00Z,1.11075,TARGET,2,0.18823529411764323,1.8117647058823567,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|411@449,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T22:00:00Z,1.10345,1.102175,2022-03-18T12:00:00Z,1.102175,1.1009,1.1047249999999997,true,IMPULSE_IMMEDIATELY_AFTER_IPO,bullish,2022-03-17T06:00:00Z,2022-03-17T17:00:00Z,2022-03-17T17:00:00Z,11,1.1138,false,,,,19,19,true,2022-03-18T15:53:00Z,1.1047249999999997,TARGET,2,0.12549019607843975,1.8745098039215602,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|456@469,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-18T19:00:00Z,1.10515,1.1046,2022-03-21T08:00:00Z,1.10515,1.1057,1.1040500000000004,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-21T11:02:00Z,1.1040500000000004,TARGET,2,0.2909090909091817,1.7090909090908184,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|411@479,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T22:00:00Z,1.10345,1.102175,2022-03-21T18:00:00Z,1.102175,1.1009,1.1047249999999997,true,IMPULSE_IMMEDIATELY_AFTER_IPO,bullish,2022-03-17T06:00:00Z,2022-03-17T17:00:00Z,2022-03-17T17:00:00Z,11,1.1138,false,,,,19,49,true,2022-03-22T00:00:00Z,1.0987,S2_CLOSE_INVALIDATION,-2.7254901960785305,0.12549019607843975,-2.8509803921569703,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|398@489,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T09:00:00Z,1.1001,1.0990000000000002,2022-03-22T04:00:00Z,1.0990000000000002,1.0979,1.1012000000000004,true,IMPULSE_IMMEDIATELY_AFTER_IPO,bullish,2022-03-16T18:00:00Z,2022-03-17T17:00:00Z,2022-03-17T17:00:00Z,23,1.1138,false,,,,32,59,true,2022-03-22T06:00:00Z,1.0968,S2_CLOSE_INVALIDATION,-2,0.14545454545453212,-2.145454545454532,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|483@497,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-21T22:00:00Z,1.1021999999999998,1.1018,2022-03-22T12:00:00Z,1.1021999999999998,1.1026,1.1013999999999995,true,IMPULSE_OVERLAPS_IPO,bearish,2022-03-21T16:00:00Z,2022-03-22T00:00:00Z,2022-03-22T00:00:00Z,8,1.0981,false,,,,2,12,true,2022-03-22T12:16:00Z,1.1013999999999995,TARGET,2,0.39999999999982205,1.600000000000178,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|498@502,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-22T13:00:00Z,1.10285,1.1016,2022-03-22T17:00:00Z,1.10285,1.1041,1.1003500000000002,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-23T09:41:00Z,1.1003500000000002,TARGET,2,0.12800000000000275,1.8719999999999972,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|519@524,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-23T10:00:00Z,1.10015,1.0996,2022-03-23T15:00:00Z,1.10015,1.1007,1.0990499999999999,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-23T18:00:00Z,1.10085,S2_CLOSE_INVALIDATION,-1.2727272727274195,0.29090909090906425,-1.5636363636364838,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|519@526,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-23T10:00:00Z,1.10015,1.0996,2022-03-23T17:00:00Z,1.10015,1.1007,1.0990499999999999,true,IMPULSE_OVERLAPS_IPO,bearish,2022-03-22T22:00:00Z,2022-03-23T13:00:00Z,2022-03-23T13:00:00Z,15,1.0964,false,,,,3,4,true,2022-03-23T18:00:00Z,1.10085,S2_CLOSE_INVALIDATION,-1.2727272727274195,0.29090909090906425,-1.5636363636364838,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|498@558,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-22T13:00:00Z,1.10285,1.1016,2022-03-25T01:00:00Z,1.10285,1.1041,1.1003500000000002,true,IMPULSE_IMMEDIATELY_AFTER_IPO,bearish,2022-03-22T22:00:00Z,2022-03-23T13:00:00Z,2022-03-23T13:00:00Z,15,1.0964,false,,,,24,36,true,2022-03-25T09:10:00Z,1.1003500000000002,TARGET,2,0.12800000000000275,1.8719999999999972,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|591@598,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-28T08:00:00Z,1.09715,1.0945,2022-03-28T15:00:00Z,1.09715,1.0998,1.09185,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-29T06:00:00Z,1.1005,S2_CLOSE_INVALIDATION,-1.2641509433961933,0.0603773584905651,-1.3245283018867584,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|607@615,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-29T00:00:00Z,1.0997,1.09835,2022-03-29T08:00:00Z,1.09835,1.097,1.1010499999999999,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-29T09:08:00Z,1.1010499999999999,TARGET,2,0.11851851851852184,1.8814814814814782,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|140@619,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-01T20:00:00Z,1.11245,1.1116,2022-03-29T12:00:00Z,1.11245,1.1133,1.11075,true,IMPULSE_IMMEDIATELY_AFTER_IPO,bearish,2022-03-18T06:00:00Z,2022-03-21T19:00:00Z,2022-03-21T19:00:00Z,37,1.101,false,,,,340,139,true,2022-03-29T13:03:00Z,1.11075,TARGET,2,0.18823529411764323,1.8117647058823567,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|160@620,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-02T16:00:00Z,1.1104500000000002,1.1064,2022-03-29T13:00:00Z,1.1104500000000002,1.1145,1.1023500000000004,true,IMPULSE_IMMEDIATELY_AFTER_IPO,bearish,2022-03-18T00:00:00Z,2022-03-21T11:00:00Z,2022-03-21T11:00:00Z,35,1.1026,false,,,,312,148,true,2022-03-30T08:00:00Z,1.1156,S2_CLOSE_INVALIDATION,-1.2716049382715826,0.039506172839507275,-1.3111111111110898,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|635@643,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-30T04:00:00Z,1.1121,1.1115,2022-03-30T12:00:00Z,1.1115,1.1109,1.1126999999999998,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-30T12:37:00Z,1.1126999999999998,TARGET,2,0.2666666666666961,1.7333333333333039,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|648@661,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-30T17:00:00Z,1.1157,1.1153,2022-03-31T06:00:00Z,1.1153,1.1149,1.1160999999999999,true,IMPULSE_IMMEDIATELY_AFTER_IPO,bullish,2022-03-30T18:00:00Z,2022-03-31T01:00:00Z,2022-03-31T01:00:00Z,7,1.1184,false,,,,8,5,true,2022-03-31T06:39:00Z,1.1160999999999999,TARGET,2,0.4000000000000441,1.599999999999956,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|635@663,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-30T04:00:00Z,1.1121,1.1115,2022-03-31T08:00:00Z,1.1115,1.1109,1.1126999999999998,true,IMPULSE_IMMEDIATELY_AFTER_IPO,bullish,2022-03-30T18:00:00Z,2022-03-31T01:00:00Z,2022-03-31T01:00:00Z,7,1.1184,false,,,,21,7,true,2022-03-31T08:56:00Z,1.1126999999999998,TARGET,2,0.2666666666666961,1.7333333333333039,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|624@668,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-29T17:00:00Z,1.1083,1.10775,2022-03-31T13:00:00Z,1.10775,1.1072,1.1088500000000001,true,IMPULSE_ORIGIN_INSIDE_IPO,bullish,2022-03-29T17:00:00Z,2022-03-31T01:00:00Z,2022-03-31T01:00:00Z,32,1.1184,false,,,,32,12,true,2022-03-31T13:30:00Z,1.1088500000000001,TARGET,2,0.29090909090906425,1.7090909090909356,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|630@669,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-29T23:00:00Z,1.1095,1.1092499999999998,2022-03-31T14:00:00Z,1.1092499999999998,1.109,1.1097499999999996,true,IMPULSE_OVERLAPS_IPO,bullish,2022-03-29T17:00:00Z,2022-03-31T01:00:00Z,2022-03-31T01:00:00Z,32,1.1184,false,,,,26,13,true,2022-03-31T14:54:00Z,1.1097499999999996,TARGET,2,0.6400000000003547,1.3599999999996453,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|624@671,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-29T17:00:00Z,1.1083,1.10775,2022-03-31T16:00:00Z,1.10775,1.1072,1.1088500000000001,true,IMPULSE_ORIGIN_INSIDE_IPO,bullish,2022-03-29T17:00:00Z,2022-03-31T01:00:00Z,2022-03-31T01:00:00Z,32,1.1184,false,,,,32,15,true,2022-03-31T17:11:00Z,1.1088500000000001,TARGET,2,0.29090909090906425,1.7090909090909356,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|607@718,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-29T00:00:00Z,1.0997,1.09835,2022-04-04T13:00:00Z,1.09835,1.097,1.1010499999999999,true,IMPULSE_IMMEDIATELY_AFTER_IPO,bullish,2022-03-29T09:00:00Z,2022-03-31T01:00:00Z,2022-03-31T01:00:00Z,40,1.1184,false,,,,49,62,true,2022-04-04T17:00:00Z,1.0964,S2_CLOSE_INVALIDATION,-1.444444444444408,0.11851851851852184,-1.5629629629629298,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|363@743,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-14T22:00:00Z,1.0949,1.0941,2022-04-05T14:00:00Z,1.0941,1.0933,1.0957000000000003,true,IMPULSE_IMMEDIATELY_AFTER_IPO,bullish,2022-04-05T04:00:00Z,2022-04-05T07:00:00Z,2022-04-05T07:00:00Z,3,1.09885,false,,,,373,7,true,2022-04-05T15:00:00Z,1.092,S2_CLOSE_INVALIDATION,-2.624999999999549,0.19999999999996654,-2.8249999999995152,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|332@746,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-11T18:00:00Z,1.09215,1.091175,2022-04-05T17:00:00Z,1.091175,1.0902,1.093125,true,IMPULSE_IMMEDIATELY_AFTER_IPO,bullish,2022-03-13T22:00:00Z,2022-03-15T07:00:00Z,2022-03-15T07:00:00Z,33,1.102,false,,,,40,374,true,2022-04-06T00:00:00Z,1.0895,S2_CLOSE_INVALIDATION,-1.7179487179489048,0.16410256410257285,-1.8820512820514776,HTF_UNAMBIGUOUS,,false
