arm,key,instrument,timeframe,window,direction,ipo_origin_time,zone_high,zone_low,entry_time,entry_price,s2_price,target_price,has_preentry_impulse,association,impulse_direction,impulse_start_time,impulse_end_time,impulse_confirmed_time,impulse_span_bars,impulse_bos_price,impulse_origin_broken,impulse_displacement_atr,impulse_body_dominance,impulse_efficiency,bars_origin_to_impulse,bars_impulse_to_entry,confirmed_before_entry,exit_time,exit_price,exit_reason,gross_r,cost_r,net_r,ordering_resolution,ambiguity_detail,excluded_from_stats
CONTROL,EUR/USD|2022-07-01|1h|411@418,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T22:00:00Z,1.10345,1.102175,2022-03-17T05:00:00Z,1.102175,1.1009,1.1047249999999997,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-17T08:02:00Z,1.1047249999999997,TARGET,2,0.12549019607843975,1.8745098039215602,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|456@469,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-18T19:00:00Z,1.10515,1.1046,2022-03-21T08:00:00Z,1.10515,1.1057,1.1040500000000004,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-21T11:02:00Z,1.1040500000000004,TARGET,2,0.2909090909091817,1.7090909090908184,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|498@502,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-22T13:00:00Z,1.10285,1.1016,2022-03-22T17:00:00Z,1.10285,1.1041,1.1003500000000002,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-23T09:41:00Z,1.1003500000000002,TARGET,2,0.12800000000000275,1.8719999999999972,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|519@524,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-23T10:00:00Z,1.10015,1.0996,2022-03-23T15:00:00Z,1.10015,1.1007,1.0990499999999999,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-23T18:00:00Z,1.10085,S2_CLOSE_INVALIDATION,-1.2727272727274195,0.29090909090906425,-1.5636363636364838,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|591@598,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-28T08:00:00Z,1.09715,1.0945,2022-03-28T15:00:00Z,1.09715,1.0998,1.09185,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-29T06:00:00Z,1.1005,S2_CLOSE_INVALIDATION,-1.2641509433961933,0.0603773584905651,-1.3245283018867584,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|607@615,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-29T00:00:00Z,1.0997,1.09835,2022-03-29T08:00:00Z,1.09835,1.097,1.1010499999999999,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-29T09:08:00Z,1.1010499999999999,TARGET,2,0.11851851851852184,1.8814814814814782,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|635@643,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-30T04:00:00Z,1.1121,1.1115,2022-03-30T12:00:00Z,1.1115,1.1109,1.1126999999999998,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-03-30T12:37:00Z,1.1126999999999998,TARGET,2,0.2666666666666961,1.7333333333333039,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|782@790,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-07T05:00:00Z,1.0915,1.091,2022-04-07T13:00:00Z,1.0915,1.092,1.0904999999999996,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-04-07T14:03:00Z,1.0904999999999996,TARGET,2,0.31999999999989315,1.6800000000001067,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|782@792,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-07T05:00:00Z,1.0915,1.091,2022-04-07T15:00:00Z,1.0915,1.092,1.0904999999999996,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-04-07T15:24:00Z,1.0904999999999996,TARGET,2,0.31999999999989315,1.6800000000001067,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|947@960,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-17T22:00:00Z,1.081275,1.0804,2022-04-18T11:00:00Z,1.081275,1.08215,1.079525,false,NO_ASSOCIATED_IMPULSE,,,,,,,,,,,,,false,2022-04-18T14:53:00Z,1.079525,TARGET,2,0.1828571428571514,1.8171428571428485,1M_RESOLVED,,false
