arm,key,instrument,timeframe,window,direction,ipo_origin_time,entry_time,entry_price,candle_s2,structural_s2,structural_swing_time,structural_confirmed_time,structural_significance,distance_ratio,s2_used,target_price,risk_price,exit_time,exit_price,exit_reason,gross_r,cost_r,net_r,ordering_resolution,ambiguity_detail,excluded_from_stats
CONTROL,EUR/USD|2022-07-01|1h|411@418,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T22:00:00Z,2022-03-17T05:00:00Z,1.102175,1.1009,1.0951,2022-03-16T18:00:00Z,2022-03-17T01:00:00Z,external,5.549019607843461,1.1009,1.1047249999999997,0.001274999999999915,2022-03-17T08:02:00Z,1.1047249999999997,TARGET,2,0.12549019607843975,1.8745098039215602,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|302@427,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-10T12:00:00Z,2022-03-17T14:00:00Z,1.1077249999999998,1.11205,1.11205,2022-03-10T12:00:00Z,2022-03-10T19:00:00Z,external,1,1.11205,1.0990749999999996,0.004325000000000134,2022-03-17T16:00:00Z,1.1131,S2_CLOSE_INVALIDATION,-1.2427745664739798,0.03699421965317805,-1.2797687861271578,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|140@431,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-01T20:00:00Z,2022-03-17T18:00:00Z,1.11245,1.1133,1.1233,2022-03-01T08:00:00Z,2022-03-01T15:00:00Z,external,12.764705882352711,1.1133,1.11075,0.0008500000000000174,2022-03-17T18:29:00Z,1.11075,TARGET,2,0.18823529411764323,1.8117647058823567,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|411@449,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T22:00:00Z,2022-03-18T12:00:00Z,1.102175,1.1009,1.0951,2022-03-16T18:00:00Z,2022-03-17T01:00:00Z,external,5.549019607843461,1.1009,1.1047249999999997,0.001274999999999915,2022-03-18T15:53:00Z,1.1047249999999997,TARGET,2,0.12549019607843975,1.8745098039215602,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|456@469,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-18T19:00:00Z,2022-03-21T08:00:00Z,1.10515,1.1057,1.1071,2022-03-18T16:00:00Z,2022-03-20T23:00:00Z,external,3.545454545455463,1.1057,1.1040500000000004,0.0005499999999998284,2022-03-21T11:02:00Z,1.1040500000000004,TARGET,2,0.2909090909091817,1.7090909090908184,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|411@479,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T22:00:00Z,2022-03-21T18:00:00Z,1.102175,1.1009,1.0951,2022-03-16T18:00:00Z,2022-03-17T01:00:00Z,external,5.549019607843461,1.1009,1.1047249999999997,0.001274999999999915,2022-03-22T00:00:00Z,1.0987,S2_CLOSE_INVALIDATION,-2.7254901960785305,0.12549019607843975,-2.8509803921569703,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|398@489,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-16T09:00:00Z,2022-03-22T04:00:00Z,1.0990000000000002,1.0979,1.0956,2022-03-16T07:00:00Z,2022-03-16T10:00:00Z,internal,3.0909090909090726,1.0979,1.1012000000000004,0.001100000000000101,2022-03-22T06:00:00Z,1.0968,S2_CLOSE_INVALIDATION,-2,0.14545454545453212,-2.145454545454532,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|483@497,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-21T22:00:00Z,2022-03-22T12:00:00Z,1.1021999999999998,1.1026,1.1026,2022-03-21T22:00:00Z,2022-03-22T01:00:00Z,internal,1,1.1026,1.1013999999999995,0.000400000000000178,2022-03-22T12:16:00Z,1.1013999999999995,TARGET,2,0.39999999999982205,1.600000000000178,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|498@502,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-22T13:00:00Z,2022-03-22T17:00:00Z,1.10285,1.1041,1.1026,2022-03-21T22:00:00Z,2022-03-22T01:00:00Z,internal,0.20000000000007107,1.1041,1.1003500000000002,0.0012499999999999734,2022-03-23T09:41:00Z,1.1003500000000002,TARGET,2,0.12800000000000275,1.8719999999999972,1M_RESOLVED,,false
CONTROL,EUR/USD|2022-07-01|1h|519@524,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-23T10:00:00Z,2022-03-23T15:00:00Z,1.10015,1.1007,1.1044,2022-03-22T22:00:00Z,2022-03-23T05:00:00Z,external,7.727272727272177,1.1007,1.0990499999999999,0.0005500000000000504,2022-03-23T18:00:00Z,1.10085,S2_CLOSE_INVALIDATION,-1.2727272727274195,0.29090909090906425,-1.5636363636364838,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|519@526,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-23T10:00:00Z,2022-03-23T17:00:00Z,1.10015,1.1007,1.1044,2022-03-22T22:00:00Z,2022-03-23T05:00:00Z,external,7.727272727272177,1.1007,1.0990499999999999,0.0005500000000000504,2022-03-23T18:00:00Z,1.10085,S2_CLOSE_INVALIDATION,-1.2727272727274195,0.29090909090906425,-1.5636363636364838,HTF_UNAMBIGUOUS,,false
CONTROL,EUR/USD|2022-07-01|1h|498@558,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-22T13:00:00Z,2022-03-25T01:00:00Z,1.10285,1.1041,1.1026,2022-03-21T22:00:00Z,2022-03-22T01:00:00Z,internal,0.20000000000007107,1.1041,1.1003500000000002,0.0012499999999999734,2022-03-25T09:10:00Z,1.1003500000000002,TARGET,2,0.12800000000000275,1.8719999999999972,1M_RESOLVED,,false
