arm,key,instrument,timeframe,window,direction,ipo_origin_time,entry_time,entry_price,candle_s2,structural_s2,structural_swing_time,structural_confirmed_time,structural_significance,distance_ratio,s2_used,target_price,risk_price,exit_time,exit_price,exit_reason,gross_r,cost_r,net_r,ordering_resolution,ambiguity_detail,excluded_from_stats
STRUCTURAL,EUR/USD|2022-07-01|1h|140@429,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-03-01T20:00:00Z,2022-03-17T16:00:00Z,1.11245,1.1133,1.1233,2022-03-01T08:00:00Z,2022-03-01T15:00:00Z,external,12.764705882352711,1.1233,1.0907499999999999,0.010850000000000026,2022-04-05T18:34:00Z,1.0907499999999999,TARGET,2,0.014746543778801809,1.985253456221198,HTF_UNAMBIGUOUS,,false
STRUCTURAL,EUR/USD|2022-07-01|1h|251@759,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-08T09:00:00Z,2022-04-06T06:00:00Z,1.0885500000000001,1.0867,1.0851,2022-03-08T07:00:00Z,2022-03-08T10:00:00Z,internal,1.8648648648648292,1.0851,1.0954500000000005,0.003450000000000175,2022-04-08T13:00:00Z,1.084,S2_CLOSE_INVALIDATION,-1.3188405797100937,0.04637681159420055,-1.3652173913042942,HTF_UNAMBIGUOUS,,false
STRUCTURAL,EUR/USD|2022-07-01|1h|794@819,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-07T17:00:00Z,2022-04-08T18:00:00Z,1.0884999999999998,1.0893,1.09385,2022-04-07T13:00:00Z,2022-04-07T20:00:00Z,external,6.687499999999115,1.09385,1.0777999999999994,0.005350000000000188,2022-04-14T13:51:00Z,1.0777999999999994,TARGET,2,0.02990654205607372,1.9700934579439262,HTF_UNAMBIGUOUS,,false
STRUCTURAL,EUR/USD|2022-07-01|1h|947@960,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-17T22:00:00Z,2022-04-18T11:00:00Z,1.081275,1.08215,1.0817,2022-04-15T20:00:00Z,2022-04-17T21:00:00Z,internal,0.48571428571444525,1.0817,1.0804249999999997,0.0004250000000001197,2022-04-18T12:07:00Z,1.0804249999999997,TARGET,2,0.3764705882351881,1.623529411764812,1M_RESOLVED,,false
STRUCTURAL,EUR/USD|2022-07-01|1h|968@977,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-18T19:00:00Z,2022-04-19T04:00:00Z,1.07815,1.0785,1.0815,2022-04-18T12:00:00Z,2022-04-18T19:00:00Z,external,9.571428571426488,1.0815,1.07145,0.003349999999999964,2022-04-20T03:00:00Z,1.0819,S2_CLOSE_INVALIDATION,-1.1194029850746812,0.04776119402985126,-1.1671641791045324,HTF_UNAMBIGUOUS,,false
STRUCTURAL,EUR/USD|2022-07-01|1h|947@1003,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-17T22:00:00Z,2022-04-20T06:00:00Z,1.081275,1.08215,1.0817,2022-04-15T20:00:00Z,2022-04-17T21:00:00Z,internal,0.48571428571444525,1.0817,1.0804249999999997,0.0004250000000001197,2022-04-20T08:00:00Z,1.084,S2_CLOSE_INVALIDATION,-6.4117647058807545,0.3764705882351881,-6.7882352941159425,HTF_UNAMBIGUOUS,,false
STRUCTURAL,EUR/USD|2022-07-01|1h|1008@1014,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-04-20T11:00:00Z,2022-04-20T17:00:00Z,1.0842,1.0825,1.0806,2022-04-20T08:00:00Z,2022-04-20T11:00:00Z,internal,2.117647058823514,1.0806,1.0914000000000001,0.0036000000000000476,2022-04-21T07:26:00Z,1.0914000000000001,TARGET,2,0.04444444444444386,1.9555555555555562,1M_RESOLVED,,false
STRUCTURAL,EUR/USD|2022-07-01|1h|790@1030,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-07T13:00:00Z,2022-04-21T09:00:00Z,1.0922749999999999,1.09385,1.09385,2022-04-07T13:00:00Z,2022-04-07T20:00:00Z,external,1,1.09385,1.0891249999999997,0.001575000000000104,2022-04-21T11:11:00Z,1.0891249999999997,TARGET,2,0.10158730158729488,1.8984126984127052,HTF_UNAMBIGUOUS,,false
STRUCTURAL,EUR/USD|2022-07-01|1h|1008@1035,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-04-20T11:00:00Z,2022-04-21T14:00:00Z,1.0842,1.0825,1.0806,2022-04-20T08:00:00Z,2022-04-20T11:00:00Z,internal,2.117647058823514,1.0806,1.0914000000000001,0.0036000000000000476,2022-04-22T08:00:00Z,1.07985,S2_CLOSE_INVALIDATION,-1.2083333333333384,0.04444444444444386,-1.2527777777777822,HTF_UNAMBIGUOUS,,false
STRUCTURAL,EUR/USD|2022-07-01|1h|1157@1165,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-28T14:00:00Z,2022-04-28T22:00:00Z,1.0501,1.052,1.0564,2022-04-28T07:00:00Z,2022-04-28T14:00:00Z,external,3.3157894736841738,1.0564,1.0375,0.006299999999999972,2022-04-29T08:00:00Z,1.05695,S2_CLOSE_INVALIDATION,-1.0873015873015957,0.02539682539682551,-1.1126984126984212,HTF_UNAMBIGUOUS,,false
