arm,key,instrument,timeframe,window,direction,ipo_origin_time,entry_time,entry_price,candle_s2,structural_s2,structural_swing_time,structural_confirmed_time,structural_significance,distance_ratio,s2_used,target_price,risk_price,exit_time,exit_price,exit_reason,gross_r,cost_r,net_r,ordering_resolution,ambiguity_detail,excluded_from_stats
CONTROL_MATCHED,EUR/USD|2022-07-01|1h|251@759,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-08T09:00:00Z,2022-04-06T06:00:00Z,1.0885500000000001,1.0867,1.0851,2022-03-08T07:00:00Z,2022-03-08T10:00:00Z,internal,1.8648648648648292,1.0867,1.0922500000000004,0.0018500000000001293,2022-04-06T08:48:00Z,1.0922500000000004,TARGET,2,0.08648648648648045,1.9135135135135195,1M_RESOLVED,,false
STRUCTURAL_MATCHED,EUR/USD|2022-07-01|1h|251@759,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-03-08T09:00:00Z,2022-04-06T06:00:00Z,1.0885500000000001,1.0867,1.0851,2022-03-08T07:00:00Z,2022-03-08T10:00:00Z,internal,1.8648648648648292,1.0851,1.0954500000000005,0.003450000000000175,2022-04-08T13:00:00Z,1.084,S2_CLOSE_INVALIDATION,-1.3188405797100937,0.04637681159420055,-1.3652173913042942,HTF_UNAMBIGUOUS,,false
CONTROL_MATCHED,EUR/USD|2022-07-01|1h|794@819,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-07T17:00:00Z,2022-04-08T18:00:00Z,1.0884999999999998,1.0893,1.09385,2022-04-07T13:00:00Z,2022-04-07T20:00:00Z,external,6.687499999999115,1.0893,1.0868999999999995,0.0008000000000001339,2022-04-10T19:00:00Z,1.09385,S2_CLOSE_INVALIDATION,-6.687499999999115,0.19999999999996654,-6.887499999999082,HTF_UNAMBIGUOUS,,false
STRUCTURAL_MATCHED,EUR/USD|2022-07-01|1h|794@819,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-07T17:00:00Z,2022-04-08T18:00:00Z,1.0884999999999998,1.0893,1.09385,2022-04-07T13:00:00Z,2022-04-07T20:00:00Z,external,6.687499999999115,1.09385,1.0777999999999994,0.005350000000000188,2022-04-14T13:51:00Z,1.0777999999999994,TARGET,2,0.02990654205607372,1.9700934579439262,HTF_UNAMBIGUOUS,,false
CONTROL_MATCHED,EUR/USD|2022-07-01|1h|947@960,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-17T22:00:00Z,2022-04-18T11:00:00Z,1.081275,1.08215,1.0817,2022-04-15T20:00:00Z,2022-04-17T21:00:00Z,internal,0.48571428571444525,1.08215,1.079525,0.0008749999999999591,2022-04-18T14:53:00Z,1.079525,TARGET,2,0.1828571428571514,1.8171428571428485,1M_RESOLVED,,false
STRUCTURAL_MATCHED,EUR/USD|2022-07-01|1h|947@960,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-17T22:00:00Z,2022-04-18T11:00:00Z,1.081275,1.08215,1.0817,2022-04-15T20:00:00Z,2022-04-17T21:00:00Z,internal,0.48571428571444525,1.0817,1.0804249999999997,0.0004250000000001197,2022-04-18T12:07:00Z,1.0804249999999997,TARGET,2,0.3764705882351881,1.623529411764812,1M_RESOLVED,,false
CONTROL_MATCHED,EUR/USD|2022-07-01|1h|968@977,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-18T19:00:00Z,2022-04-19T04:00:00Z,1.07815,1.0785,1.0815,2022-04-18T12:00:00Z,2022-04-18T19:00:00Z,external,9.571428571426488,1.0785,1.0774499999999998,0.0003500000000000725,2022-04-19T04:41:00Z,1.0774499999999998,TARGET,2,0.45714285714276254,1.5428571428572375,1M_RESOLVED,,false
STRUCTURAL_MATCHED,EUR/USD|2022-07-01|1h|968@977,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-18T19:00:00Z,2022-04-19T04:00:00Z,1.07815,1.0785,1.0815,2022-04-18T12:00:00Z,2022-04-18T19:00:00Z,external,9.571428571426488,1.0815,1.07145,0.003349999999999964,2022-04-20T03:00:00Z,1.0819,S2_CLOSE_INVALIDATION,-1.1194029850746812,0.04776119402985126,-1.1671641791045324,HTF_UNAMBIGUOUS,,false
CONTROL_MATCHED,EUR/USD|2022-07-01|1h|947@1003,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-17T22:00:00Z,2022-04-20T06:00:00Z,1.081275,1.08215,1.0817,2022-04-15T20:00:00Z,2022-04-17T21:00:00Z,internal,0.48571428571444525,1.08215,1.079525,0.0008749999999999591,2022-04-20T08:00:00Z,1.084,S2_CLOSE_INVALIDATION,-3.114285714285961,0.1828571428571514,-3.297142857143112,HTF_UNAMBIGUOUS,,false
STRUCTURAL_MATCHED,EUR/USD|2022-07-01|1h|947@1003,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-17T22:00:00Z,2022-04-20T06:00:00Z,1.081275,1.08215,1.0817,2022-04-15T20:00:00Z,2022-04-17T21:00:00Z,internal,0.48571428571444525,1.0817,1.0804249999999997,0.0004250000000001197,2022-04-20T08:00:00Z,1.084,S2_CLOSE_INVALIDATION,-6.4117647058807545,0.3764705882351881,-6.7882352941159425,HTF_UNAMBIGUOUS,,false
CONTROL_MATCHED,EUR/USD|2022-07-01|1h|1008@1014,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-04-20T11:00:00Z,2022-04-20T17:00:00Z,1.0842,1.0825,1.0806,2022-04-20T08:00:00Z,2022-04-20T11:00:00Z,internal,2.117647058823514,1.0825,1.0876000000000001,0.0017000000000000348,2022-04-21T06:30:00Z,1.0876000000000001,TARGET,2,0.09411764705882161,1.9058823529411784,1M_RESOLVED,,false
STRUCTURAL_MATCHED,EUR/USD|2022-07-01|1h|1008@1014,EUR/USD,1h,EUR/USD_2022-07-01,demand,2022-04-20T11:00:00Z,2022-04-20T17:00:00Z,1.0842,1.0825,1.0806,2022-04-20T08:00:00Z,2022-04-20T11:00:00Z,internal,2.117647058823514,1.0806,1.0914000000000001,0.0036000000000000476,2022-04-21T07:26:00Z,1.0914000000000001,TARGET,2,0.04444444444444386,1.9555555555555562,1M_RESOLVED,,false
CONTROL_MATCHED,EUR/USD|2022-07-01|1h|790@1030,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-07T13:00:00Z,2022-04-21T09:00:00Z,1.0922749999999999,1.09385,1.09385,2022-04-07T13:00:00Z,2022-04-07T20:00:00Z,external,1,1.09385,1.0891249999999997,0.001575000000000104,2022-04-21T11:11:00Z,1.0891249999999997,TARGET,2,0.10158730158729488,1.8984126984127052,HTF_UNAMBIGUOUS,,false
STRUCTURAL_MATCHED,EUR/USD|2022-07-01|1h|790@1030,EUR/USD,1h,EUR/USD_2022-07-01,supply,2022-04-07T13:00:00Z,2022-04-21T09:00:00Z,1.0922749999999999,1.09385,1.09385,2022-04-07T13:00:00Z,2022-04-07T20:00:00Z,external,1,1.09385,1.0891249999999997,0.001575000000000104,2022-04-21T11:11:00Z,1.0891249999999997,TARGET,2,0.10158730158729488,1.8984126984127052,HTF_UNAMBIGUOUS,,false
